STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:USC00209014,200.9,42.08333,-83.58333,19700815,0.00,-9999,87,59
GHCND:USC00209014,200.9,42.08333,-83.58333,19700816,0.00,-9999,85,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700817,0.00,-9999,85,49
GHCND:USC00209014,200.9,42.08333,-83.58333,19700818,0.00,-9999,82,53
GHCND:USC00209014,200.9,42.08333,-83.58333,19700819,0.85,-9999,81,65
GHCND:USC00209014,200.9,42.08333,-83.58333,19700820,0.00,-9999,83,64
GHCND:USC00209014,200.9,42.08333,-83.58333,19700821,0.00,-9999,77,52
GHCND:USC00209014,200.9,42.08333,-83.58333,19700822,0.26,-9999,69,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700823,0.00,-9999,76,55
GHCND:USC00209014,200.9,42.08333,-83.58333,19700824,0.00,-9999,77,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700825,0.00,-9999,83,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700826,0.00,-9999,88,57
GHCND:USC00209014,200.9,42.08333,-83.58333,19700827,0.00,-9999,85,57
GHCND:USC00209014,200.9,42.08333,-83.58333,19700828,0.00,-9999,88,66
GHCND:USC00209014,200.9,42.08333,-83.58333,19700829,0.53,-9999,69,58
GHCND:USC00209014,200.9,42.08333,-83.58333,19700830,0.00,-9999,90,63
GHCND:USC00209014,200.9,42.08333,-83.58333,19700831,0.00,-9999,73,46
GHCND:USC00209014,200.9,42.08333,-83.58333,19700901,0.00,-9999,75,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19700902,0.00,-9999,81,41
GHCND:USC00209014,200.9,42.08333,-83.58333,19700903,0.23,-9999,82,61
GHCND:USC00209014,200.9,42.08333,-83.58333,19700904,0.00,-9999,85,65
GHCND:USC00209014,200.9,42.08333,-83.58333,19700905,0.00,-9999,81,56
GHCND:USC00209014,200.9,42.08333,-83.58333,19700906,0.00,-9999,80,51
GHCND:USC00209014,200.9,42.08333,-83.58333,19700907,0.00,-9999,86,68
GHCND:USC00209014,200.9,42.08333,-83.58333,19700908,0.01,-9999,85,61
GHCND:USC00209014,200.9,42.08333,-83.58333,19700909,0.00,-9999,81,55
GHCND:USC00209014,200.9,42.08333,-83.58333,19700910,0.00,-9999,73,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19700911,0.00,-9999,76,37
GHCND:USC00209014,200.9,42.08333,-83.58333,19700912,0.00,-9999,79,37
GHCND:USC00209014,200.9,42.08333,-83.58333,19700913,0.13,-9999,62,51
GHCND:USC00209014,200.9,42.08333,-83.58333,19700914,0.22,-9999,58,48
GHCND:USC00209014,200.9,42.08333,-83.58333,19700915,0.19,-9999,86,56
GHCND:USC00209014,200.9,42.08333,-83.58333,19700916,0.00,-9999,72,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700917,0.15,-9999,73,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19700918,0.07,-9999,74,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700919,0.00,-9999,79,43
GHCND:USC00209014,200.9,42.08333,-83.58333,19700920,0.00,-9999,80,48
GHCND:USC00209014,200.9,42.08333,-83.58333,19700921,0.00,-9999,90,65
GHCND:USC00209014,200.9,42.08333,-83.58333,19700922,0.00,-9999,80,68
GHCND:USC00209014,200.9,42.08333,-83.58333,19700923,0.16,-9999,68,58
GHCND:USC00209014,200.9,42.08333,-83.58333,19700924,0.00,-9999,82,62
GHCND:USC00209014,200.9,42.08333,-83.58333,19700925,0.00,-9999,79,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700926,0.84,-9999,75,52
GHCND:USC00209014,200.9,42.08333,-83.58333,19700927,0.03,-9999,62,43
GHCND:USC00209014,200.9,42.08333,-83.58333,19700928,0.00,-9999,58,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19700929,0.00,-9999,56,28
GHCND:USC00209014,200.9,42.08333,-83.58333,19700930,0.00,-9999,59,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19701001,0.00,-9999,63,28
GHCND:USC00209014,200.9,42.08333,-83.58333,19701002,0.02,-9999,75,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19701003,0.00,-9999,55,41
GHCND:USC00209014,200.9,42.08333,-83.58333,19701004,0.00,-9999,60,35
GHCND:USC00209014,200.9,42.08333,-83.58333,19701005,0.00,-9999,74,33
GHCND:USC00209014,200.9,42.08333,-83.58333,19701006,0.00,-9999,81,54
GHCND:USC00209014,200.9,42.08333,-83.58333,19701007,0.00,-9999,77,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19701008,0.00,-9999,78,54
GHCND:USC00209014,200.9,42.08333,-83.58333,19701009,0.10,-9999,80,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19701010,0.17,-9999,60,34
GHCND:USC00209014,200.9,42.08333,-83.58333,19701011,0.00,-9999,63,30
GHCND:USC00209014,200.9,42.08333,-83.58333,19701012,0.16,-9999,58,49
GHCND:USC00209014,200.9,42.08333,-83.58333,19701013,0.19,-9999,68,53
GHCND:USC00209014,200.9,42.08333,-83.58333,19701014,0.76,-9999,65,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19701015,0.00,-9999,55,35
GHCND:USC00209014,200.9,42.08333,-83.58333,19701016,0.00,-9999,51,26
GHCND:USC00209014,200.9,42.08333,-83.58333,19701017,0.00,-9999,59,24
GHCND:USC00209014,200.9,42.08333,-83.58333,19701018,0.00,-9999,66,36
GHCND:USC00209014,200.9,42.08333,-83.58333,19701019,0.00,-9999,66,30
GHCND:USC00209014,200.9,42.08333,-83.58333,19701020,0.35,-9999,53,44
GHCND:USC00209014,200.9,42.08333,-83.58333,19701021,0.00,-9999,61,48
GHCND:USC00209014,200.9,42.08333,-83.58333,19701022,0.00,-9999,61,35
GHCND:USC00209014,200.9,42.08333,-83.58333,19701023,0.00,-9999,64,32
GHCND:USC00209014,200.9,42.08333,-83.58333,19701024,0.00,-9999,64,39
GHCND:USC00209014,200.9,42.08333,-83.58333,19701025,0.00,-9999,65,43
